           <...>-3563    [004] d..4. 11905.227481: bpf_trace_printk: 24064 delay 4448
 test_proc_image-24237   [004] d..4. 11905.806225: bpf_trace_printk: 24240 delay 55999261

 test_proc_image-24240   [004] d..4. 11905.810236: bpf_trace_printk: 24242 delay 63992946

 test_proc_image-24242   [004] d..4. 11905.814235: bpf_trace_printk: 24243 delay 60015030

 test_proc_image-24243   [004] d..4. 11905.818233: bpf_trace_printk: 24241 delay 60060516

 test_proc_image-24241   [004] d..4. 11905.822266: bpf_trace_printk: 24239 delay 56044056

 test_proc_image-24239   [004] d..4. 11905.826238: bpf_trace_printk: 24233 delay 64000029

 test_proc_image-24233   [004] d..4. 11905.830236: bpf_trace_printk: 24244 delay 60311923

 test_proc_image-24244   [004] d..4. 11905.834238: bpf_trace_printk: 24235 delay 56011183

 test_proc_image-24235   [004] d..4. 11905.838245: bpf_trace_printk: 24236 delay 56017265

 test_proc_image-24236   [004] d..4. 11905.842252: bpf_trace_printk: 24238 delay 68016770

 test_proc_image-24238   [004] d..4. 11905.846240: bpf_trace_printk: 24232 delay 60015270

 test_proc_image-24232   [004] d..4. 11905.850061: bpf_trace_printk: 24229 delay 59832533

 test_proc_image-24229   [004] d..4. 11905.854252: bpf_trace_printk: 24234 delay 60021071

 test_proc_image-24234   [004] d..4. 11905.858242: bpf_trace_printk: 24231 delay 60008947

 test_proc_image-24231   [004] d..4. 11905.862253: bpf_trace_printk: 24230 delay 60022022

 test_proc_image-24230   [004] d..4. 11905.866243: bpf_trace_printk: 24237 delay 60021972

 test_proc_image-24237   [004] d..4. 11905.870264: bpf_trace_printk: 24240 delay 60029297

 test_proc_image-24240   [004] d..4. 11905.873946: bpf_trace_printk: 24242 delay 59712324

 test_proc_image-24242   [004] d..4. 11905.878245: bpf_trace_printk: 24243 delay 60013025

 test_proc_image-24243   [004] d..4. 11905.882258: bpf_trace_printk: 24241 delay 59996434

 test_proc_image-24241   [004] d..4. 11905.886267: bpf_trace_printk: 24239 delay 60027534

 test_proc_image-24239   [004] d..4. 11905.890264: bpf_trace_printk: 24233 delay 60026181

 test_proc_image-24233   [004] d..4. 11905.894245: bpf_trace_printk: 24244 delay 60004369

 test_proc_image-24244   [004] d..4. 11905.898292: bpf_trace_printk: 24232 delay 48224050

 test_proc_image-24232   [004] d..4. 11905.902253: bpf_trace_printk: 24235 delay 64009127

 test_proc_image-24235   [004] d..4. 11905.906255: bpf_trace_printk: 24236 delay 64015348

 test_proc_image-24236   [004] d..4. 11905.910251: bpf_trace_printk: 24238 delay 64012133

 test_proc_image-24238   [004] d..4. 11905.914260: bpf_trace_printk: 24229 delay 60010701

 test_proc_image-24229   [004] d..4. 11905.918263: bpf_trace_printk: 24234 delay 60020831

 test_proc_image-24234   [004] d..4. 11905.922256: bpf_trace_printk: 24231 delay 60003277

 test_proc_image-24231   [004] d..4. 11905.926253: bpf_trace_printk: 24230 delay 60011092

 test_proc_image-24230   [004] d..4. 11905.929998: bpf_trace_printk: 24240 delay 56027878

 test_proc_image-24240   [004] d..4. 11905.933929: bpf_trace_printk: 24237 delay 63667331

 test_proc_image-24237   [004] d..4. 11905.938073: bpf_trace_printk: 24242 delay 59827586

 test_proc_image-24242   [004] d..4. 11905.942068: bpf_trace_printk: 24243 delay 59809512

 test_proc_image-24243   [004] d..4. 11905.946304: bpf_trace_printk: 24241 delay 60037236

 test_proc_image-24241   [004] d..4. 11905.950264: bpf_trace_printk: 24239 delay 60003242

 test_proc_image-24239   [004] d..4. 11905.954281: bpf_trace_printk: 24233 delay 60035463

 test_proc_image-24233   [004] d..4. 11905.958125: bpf_trace_printk: 24244 delay 59841775

 test_proc_image-24244   [004] d..4. 11905.962290: bpf_trace_printk: 24232 delay 60033910

 test_proc_image-24232   [004] d..4. 11905.966290: bpf_trace_printk: 24235 delay 60033290

 test_proc_image-24235   [004] d..4. 11905.970278: bpf_trace_printk: 24236 delay 60024882

 test_proc_image-24236   [004] d..4. 11905.974274: bpf_trace_printk: 24238 delay 60014092

 test_proc_image-24238   [004] d..4. 11905.978281: bpf_trace_printk: 24229 delay 60019139

 test_proc_image-24229   [004] d..4. 11905.982285: bpf_trace_printk: 24234 delay 60027635

 test_proc_image-24234   [004] d..4. 11905.986262: bpf_trace_printk: 24231 delay 60008358

